2019-01-19 17:09:24,718 INFO #!/usr/bin/env python3
# -*- coding: utf-8 -*-
"""
Created on Thu Oct  4 20:24:20 2018

@author: sebastian
"""

#--------------------------------------------------------------------------------
#                                 PARAMETROS
#--------------------------------------------------------------------------------
#solo porque lo pide para inicializar el modelo
batch_size= 1
learning_rate = 0.001 
momentum= 0.9 #solo SGD
hayLabels= True 	# cuando no necesito labels
postprocesar= False  #aplicar postprocesamiento
cadaCuantas= 20

#%%   DATA
nombreData= "test"      #para leer, sin .npz
split= 1              #cuantos datos usar del modulo. 1= todo
cant_inferir= 1           #cantidad de modulos de inferir para cargar (solo cuando uso otros de train)
nameData= "testTodaWMasDatosLimpiar0.9Islas"            #para escribir, extra que se agrega al nombre para guardar (util para no sobreescribir)
tol= 0.25               #necesario para medir acc y jaccard
verGraficas= False

#%%   MASCARA       
#tipoDatos= "maskBordes"
#tipoDatos= "maskLineal"
tipoDatos= "maskCanales"

#%%   MODELO
pathModel= "../modelo/maskCanales_Adam_CrossEntropy_etapa2_best"               #path a modelo a cargar

# optim. (para cargar modelo)
tipoOptim= "Adam"
#tipoOptim= "Adadelta"
#tipoOptim= "SGD"

# loss
#tipoLoss= "BCE"
#tipoLoss= "BCEwLogits"
tipoLoss= "CrossEntropy"
#tipoLoss= "MSE"

2019-01-19 17:09:26,984 INFO CrossEntropyLoss()
2019-01-19 17:09:28,795 INFO Step [1/2688], Loss: 0.0196, Accuracy: 49.951, Jaccard: 49.093 %
2019-01-19 17:09:29,001 INFO Step [2/2688], Loss: 0.0097, Accuracy: 88.093, Jaccard: 87.973 %
2019-01-19 17:09:29,277 INFO Step [3/2688], Loss: 0.0120, Accuracy: 99.783, Jaccard: 99.472 %
2019-01-19 17:09:29,459 INFO Step [4/2688], Loss: 0.0865, Accuracy: 46.878, Jaccard: 46.878 %
2019-01-19 17:09:29,731 INFO Step [5/2688], Loss: 0.0034, Accuracy: 99.608, Jaccard: 99.068 %
2019-01-19 17:09:29,901 INFO Step [6/2688], Loss: 0.0060, Accuracy: 99.437, Jaccard: 97.277 %
2019-01-19 17:09:30,124 INFO Step [7/2688], Loss: 0.0031, Accuracy: 99.559, Jaccard: 98.901 %
2019-01-19 17:09:30,292 INFO Step [8/2688], Loss: 0.0047, Accuracy: 99.542, Jaccard: 97.784 %
2019-01-19 17:09:30,552 INFO Step [9/2688], Loss: 0.0004, Accuracy: 99.847, Jaccard: 99.076 %
2019-01-19 17:09:30,727 INFO Step [10/2688], Loss: 0.0048, Accuracy: 50.000, Jaccard: 42.547 %
2019-01-19 17:09:30,983 INFO Step [11/2688], Loss: 0.0004, Accuracy: 99.448, Jaccard: 98.756 %
2019-01-19 17:09:31,181 INFO Step [12/2688], Loss: 0.0030, Accuracy: 99.564, Jaccard: 95.634 %
2019-01-19 17:09:31,457 INFO Step [13/2688], Loss: 0.0428, Accuracy: 66.316, Jaccard: 66.027 %
2019-01-19 17:09:31,629 INFO Step [14/2688], Loss: 0.0410, Accuracy: 66.192, Jaccard: 65.721 %
2019-01-19 17:09:31,837 INFO Step [15/2688], Loss: 0.0409, Accuracy: 66.428, Jaccard: 65.817 %
2019-01-19 17:09:32,023 INFO Step [16/2688], Loss: 0.0375, Accuracy: 66.418, Jaccard: 53.097 %
2019-01-19 17:09:32,209 INFO Step [17/2688], Loss: 0.0022, Accuracy: 98.179, Jaccard: 95.676 %
2019-01-19 17:09:32,388 INFO Step [18/2688], Loss: 0.0012, Accuracy: 99.214, Jaccard: 97.935 %
2019-01-19 17:09:32,691 INFO Step [19/2688], Loss: 0.0025, Accuracy: 98.860, Jaccard: 96.415 %
2019-01-19 17:09:32,874 INFO Step [20/2688], Loss: 0.0014, Accuracy: 99.206, Jaccard: 97.739 %
2019-01-19 17:09:33,168 INFO Step [21/2688], Loss: 0.0032, Accuracy: 99.361, Jaccard: 98.732 %
2019-01-19 17:09:33,367 INFO Step [22/2688], Loss: 0.0025, Accuracy: 98.884, Jaccard: 97.438 %
2019-01-19 17:09:33,537 INFO Step [23/2688], Loss: 0.0019, Accuracy: 99.051, Jaccard: 97.934 %
2019-01-19 17:09:33,731 INFO Step [24/2688], Loss: 0.0020, Accuracy: 99.051, Jaccard: 97.447 %
2019-01-19 17:09:33,911 INFO Step [25/2688], Loss: 0.0078, Accuracy: 97.602, Jaccard: 95.572 %
2019-01-19 17:09:34,105 INFO Step [26/2688], Loss: 0.0096, Accuracy: 98.277, Jaccard: 95.962 %
2019-01-19 17:09:34,284 INFO Step [27/2688], Loss: 0.0038, Accuracy: 98.628, Jaccard: 96.083 %
2019-01-19 17:09:34,486 INFO Step [28/2688], Loss: 0.0091, Accuracy: 98.357, Jaccard: 96.427 %
2019-01-19 17:09:34,657 INFO Step [29/2688], Loss: 0.0067, Accuracy: 99.593, Jaccard: 97.984 %
2019-01-19 17:09:34,863 INFO Step [30/2688], Loss: 0.0021, Accuracy: 99.237, Jaccard: 98.423 %
2019-01-19 17:09:35,032 INFO Step [31/2688], Loss: 0.0135, Accuracy: 97.966, Jaccard: 96.612 %
2019-01-19 17:09:35,233 INFO Step [32/2688], Loss: 0.0120, Accuracy: 99.072, Jaccard: 97.364 %
2019-01-19 17:09:35,398 INFO Step [33/2688], Loss: 0.0062, Accuracy: 99.114, Jaccard: 96.501 %
2019-01-19 17:09:35,600 INFO Step [34/2688], Loss: 0.0058, Accuracy: 73.910, Jaccard: 66.706 %
2019-01-19 17:09:35,771 INFO Step [35/2688], Loss: 0.0024, Accuracy: 99.407, Jaccard: 98.125 %
2019-01-19 17:09:35,969 INFO Step [36/2688], Loss: 0.0041, Accuracy: 99.324, Jaccard: 98.520 %
2019-01-19 17:09:36,136 INFO Step [37/2688], Loss: 0.0251, Accuracy: 74.121, Jaccard: 60.277 %
2019-01-19 17:09:36,307 INFO Step [38/2688], Loss: 0.0129, Accuracy: 97.406, Jaccard: 95.195 %
2019-01-19 17:09:36,499 INFO Step [39/2688], Loss: 0.0159, Accuracy: 77.373, Jaccard: 64.403 %
2019-01-19 17:09:36,667 INFO Step [40/2688], Loss: 0.0116, Accuracy: 97.293, Jaccard: 95.320 %
2019-01-19 17:09:36,940 INFO Step [41/2688], Loss: 0.0128, Accuracy: 98.357, Jaccard: 96.508 %
2019-01-19 17:09:37,144 INFO Step [42/2688], Loss: 0.0060, Accuracy: 97.999, Jaccard: 95.842 %
2019-01-19 17:09:37,314 INFO Step [43/2688], Loss: 0.0200, Accuracy: 98.346, Jaccard: 96.194 %
2019-01-19 17:09:37,511 INFO Step [44/2688], Loss: 0.0092, Accuracy: 98.344, Jaccard: 96.652 %
2019-01-19 17:09:37,699 INFO Step [45/2688], Loss: 0.0176, Accuracy: 78.950, Jaccard: 69.543 %
2019-01-19 17:09:37,899 INFO Step [46/2688], Loss: 0.0157, Accuracy: 98.689, Jaccard: 96.375 %
2019-01-19 17:09:38,069 INFO Step [47/2688], Loss: 0.0052, Accuracy: 98.373, Jaccard: 96.798 %
2019-01-19 17:09:38,234 INFO Step [48/2688], Loss: 0.0052, Accuracy: 99.090, Jaccard: 97.940 %
2019-01-19 17:09:38,427 INFO Step [49/2688], Loss: 0.0018, Accuracy: 98.936, Jaccard: 98.430 %
2019-01-19 17:09:38,608 INFO Step [50/2688], Loss: 0.0165, Accuracy: 98.618, Jaccard: 97.853 %
2019-01-19 17:09:38,803 INFO Step [51/2688], Loss: 0.0023, Accuracy: 99.519, Jaccard: 98.873 %
2019-01-19 17:09:38,970 INFO Step [52/2688], Loss: 0.0045, Accuracy: 99.577, Jaccard: 99.237 %
2019-01-19 17:09:39,140 INFO Step [53/2688], Loss: 0.0008, Accuracy: 99.392, Jaccard: 98.620 %
2019-01-19 17:09:39,315 INFO Step [54/2688], Loss: 0.0053, Accuracy: 99.159, Jaccard: 95.280 %
2019-01-19 17:09:39,481 INFO Step [55/2688], Loss: 0.0127, Accuracy: 49.975, Jaccard: 41.299 %
2019-01-19 17:09:39,659 INFO Step [56/2688], Loss: 0.0010, Accuracy: 99.220, Jaccard: 98.011 %
